player,season,fotmob_id,team,pos,height,weight,age,foot,minutes,accurate_long_balls,accurate_passes,acted_as_sweeper,aerials_won,aerials_won_%,aerials_won_comp,assists,blocked_scoring_attempt,chances_created,chances_created_comp,clean_sheet_comp,clean_sheets,cross_accuracy,defensive_actions_comp,dispossessed,dribbled_past,dribbles,dribbles_success_rate,duels_won,duels_won_%,error_led_to_goal,fouls_won,goals,goals_comp,goals_conceded,goals_conceded_comp,goals_prevented,high_claims,interceptions,keeper_high_claim_comp,keeper_sweeper_actions_comp,long_ball_accuracy,long_ball_succeeeded_accuracy_comp,pass_accuracy,penalties_awarded,penalties_conceded,penalty_goals,penalty_goals_conceded,penalty_goals_faced,penalty_goals_saves,possession_won_final_3rd,recoveries,save_percentage,save_percentage_comp,saves,shot_attempts_comp,shots,shots_on_target,successful_crosses,tackles_won,tackles_won_%,touches,touches_comp,touches_in_opposition_box,xa,xg,xg_excl._penalty,xgot
Alisson Becker,2023,319784,Liverpool,Keeper,193 cm,91.0,31,Right,1170,3.76923076923077,,0.461538461538462,,,,0.0769230769230769,,,,0.625,0.307692307692308,,,,,,,,,0.0769230769230769,,,,0.846153846153846,0.610293984413147,0.002013503995716,0.692307692307692,,0.41176500916481,0.970588028430939,37.984496124031,0.205881997942924,82.2314049586777,,,,,,,,,80.0,0.198529005050659,3.38461538461538,,,,,,,,,,,,,
Caoimhin Kelleher,2023,776689,Liverpool,Keeper,188 cm,75.0,25,Right,180,3.0,,0.5,,,,,,,,0.313868999481201,0.5,,,,,,,,,0.5,,,,1.5,0.218978002667427,-0.0044072230656941,1.0,,0.182482004165649,0.102190002799034,50.0,1.0,91.044776119403,,,,,,,,,50.0,1.0,1.5,,,,,,,,,,,,,
Joel Matip,2023,171698,Liverpool,Center Back,195 cm,89.0,32,Right,783,1.83908045977012,56.7816091954023,,3.2183908045977,73.6842105263158,0.756676971912384,0.0,0.114942528735632,0.229885057471264,0.821958005428314,,,,0.480711996555328,0.459770114942529,0.459770114942529,,,4.94252873563218,61.4285714285714,,0.344827586206897,0.0,0.557862997055054,,,,,1.03448275862069,,,42.1052631578947,,87.7442273534636,,,,,,,0.114942528735632,6.66666666666667,,,,0.596439003944397,0.574712643678161,,,0.689655172413793,50.0,77.816091954023,0.83086097240448,1.37931034482759,0.0146727674993975,0.0657241371856339,0.0657241371856339,0.0074252871603801
Virgil van Dijk,2023,209405,Liverpool,Center Back,193 cm,92.0,32,Right,1108,4.95487364620939,71.6425992779783,,5.1173285198556,77.7777777777778,0.961423993110657,0.162454873646209,0.243682310469314,0.487364620938628,0.848664999008179,,,,0.439168989658356,0.0812274368231047,,,,6.74187725631769,76.1467889908257,,0.243682310469314,0.0812274368231047,0.869436025619507,,,,,1.62454873646209,,,64.8936170212766,,90.8341915550978,,,,,,,0.0812274368231047,4.95487364620939,,,,0.925815999507904,1.29963898916968,0.406137184115523,,0.731046931407942,52.9411764705882,91.9494584837545,0.928782999515533,2.19314079422383,0.0303814928669361,0.0971398887221133,0.0971398887221133,0.107431408515476
Andrew Robertson,2023,357880,Liverpool,Left Back,178 cm,64.0,29,Left,720,2.125,53.375,,1.0,57.1428571428571,0.330909013748169,0.0,,2.375,0.901817977428436,,,37.7777777777778,0.218181997537613,0.125,0.875,0.125,25.0,3.0,53.3333333333333,,,0.125,0.414544999599457,,,,,1.0,,,45.9459459459459,,86.7886178861789,,,,,,,0.125,7.125,,,,0.203636005520821,0.25,0.25,2.125,1.375,73.3333333333333,82.375,0.909090995788574,1.0,0.124421238899231,0.0576874986290932,0.0576874986290932,0.0976750031113625
Joseph Gomez,2023,568571,Liverpool,Center Back,191 cm,77.0,26,Right,618,1.89320388349515,57.9611650485437,,2.03883495145631,82.3529411764706,0.181008994579315,0.0,0.145631067961165,1.01941747572816,0.982195973396301,,,15.3846153846154,0.424331992864609,0.436893203883495,1.45631067961165,0.58252427184466,40.0,6.40776699029126,60.2739726027397,,1.16504854368932,0.0,0.0029673599638044,,,,,1.31067961165049,,,65.0,,88.8392857142857,,,,,,,0.436893203883495,5.8252427184466,,,,0.700296998023987,0.87378640776699,,0.29126213592233,1.31067961165049,50.0,91.3106796116505,0.899110019207001,2.03883495145631,0.0263600557753183,0.0403980563566523,0.0403980563566523,
Konstantinos Tsimikas,2023,671529,Liverpool,Left Back,179 cm,73.0,27,Left,449,1.60356347438753,45.902004454343,,0.801781737193764,26.6666666666667,0.370909005403519,0.601336302895323,,2.20489977728285,0.912726998329163,,,27.2727272727273,0.476363986730576,0.601336302895323,0.801781737193764,0.601336302895323,37.5,3.80846325167038,38.7755102040816,,0.601336302895323,0.0,0.0036363599356263,,,,,0.801781737193764,,,53.3333333333333,,86.0902255639098,,,,,,,0.200445434298441,6.21380846325167,,,,0.378181993961334,0.200445434298441,,2.40534521158129,1.0022271714922,50.0,82.9844097995546,0.843635976314545,2.20489977728285,0.187694260431557,0.0062939863992162,0.0062939863992162,
Trent Alexander-Arnold,2023,760712,Liverpool,Right Back,175 cm,69.0,25,Right,1050,5.4,52.8,,0.257142857142857,50.0,0.0981817990541458,0.171428571428571,0.771428571428571,2.4,0.981818020343781,,,31.8181818181818,0.200000002980232,0.257142857142857,2.4,1.28571428571429,53.5714285714286,3.25714285714286,42.6966292134831,,0.257142857142857,0.171428571428571,0.800000011920929,,,,,1.11428571428571,,,41.7218543046358,,79.7927461139896,,,,,,,0.685714285714286,7.62857142857143,,,,0.93818199634552,1.71428571428571,0.342857142857143,1.8,1.02857142857143,70.5882352941177,92.5714285714286,0.989090979099274,1.28571428571429,0.221333415167672,0.0673542840140206,0.0673542840140206,0.0730542847088405
Ibrahima Konaté,2023,820140,Liverpool,Center Back,192 cm,84.0,24,Right,577,2.33968804159445,80.9532062391681,,4.52339688041594,67.4418604651163,0.73590499162674,0.0,,0.311958405545927,0.344213992357254,,,,0.673590004444122,0.467937608318891,0.623916811091854,0.467937608318891,100.0,7.64298093587522,60.4938271604938,,0.779896013864818,0.0,0.0029673599638044,,,,,1.24783362218371,,,48.3870967741936,,89.7923875432526,,,,,,,0.155979202772964,6.08318890814558,,,,0.528190016746521,0.467937608318891,0.155979202772964,,1.09185441941075,58.3333333333333,103.414211438475,0.833827972412109,0.935875216637782,0.0209523941449937,0.0200901220534868,0.0200901220534868,0.0539376102452468
Jarell Quansah,2023,1107620,Liverpool,Center Back,190 cm,,20,England,116,2.32758620689655,82.2413793103448,,1.55172413793103,50.0,0.436201989650726,0.0,,,0.326409012079239,,,,0.661720991134644,0.0,0.775862068965517,1.55172413793103,66.6666666666667,6.20689655172414,61.5384615384615,,,0.0,0.0029673599638044,,,,,2.32758620689655,,,60.0,,94.6428571428571,,,,,,,0.775862068965517,3.87931034482759,,,,0.64095002412796,0.0,,,2.32758620689655,75.0,102.413793103448,0.759643971920013,,0.0085208664551891,,,
Wataru Endo,2023,202643,Liverpool,Central Midfielder,178 cm,75.0,30,Right,310,1.16129032258065,50.5161290322581,,2.32258064516129,50.0,0.898733973503113,0.0,0.290322580645161,0.290322580645161,0.683543980121613,,,,0.602532029151917,1.45161290322581,2.03225806451613,,,5.51612903225806,38.7755102040816,,1.45161290322581,0.290322580645161,0.767089009284973,,,,,0.580645161290323,,,50.0,,83.6538461538462,,,,,,,0.290322580645161,4.93548387096774,,,,0.4860759973526,0.580645161290323,0.290322580645161,,1.45161290322581,83.3333333333333,75.1935483870968,0.734176993370056,0.290322580645161,0.0286450340382514,0.040935484632369,0.040935484632369,0.165977412654508
Alexis Mac Allister,2023,831489,Liverpool,Central Midfielder,174 cm,72.0,24,Right,1094,2.13893967093236,58.8208409506399,,0.822669104204753,43.4782608695652,0.498733997344971,0.0822669104204753,0.0822669104204753,0.658135283363803,0.673417985439301,,,,0.172151997685432,1.23400365630713,2.05667276051188,0.740402193784278,64.2857142857143,5.75868372943327,46.6666666666667,,1.64533820840951,0.0822669104204753,0.792405009269714,,,,,1.39853747714808,,,59.0909090909091,,88.0541871921182,,,,,,,0.987202925045704,7.07495429616088,,,,0.888607978820801,0.658135283363803,0.246800731261426,,1.48080438756856,58.0645161290323,81.8555758683729,0.769620001316071,0.164533820840951,0.090902809469094,0.0154332725341403,0.0154332725341403,0.0528318093071472
Dominik Szoboszlai,2023,846005,Liverpool,Central Midfielder,185 cm,74.0,23,Right,1282,2.38689547581903,53.2839313572543,,0.491419656786271,43.75,0.151898995041847,0.140405616224649,0.772230889235569,2.24648985959438,0.964556992053986,,,25.9259259259259,0.134176999330521,0.842433697347894,1.89547581903276,1.05304212168487,48.3870967741936,4.21216848673947,42.2535211267606,,1.47425897035881,0.140405616224649,0.967088997364044,,,,,0.561622464898596,,,65.3846153846154,,88.0510440835267,0.140405616224649,,,,,,0.912636505460218,7.58190327613105,,,,0.974684000015259,2.03588143525741,0.631825273010921,0.982839313572543,0.772230889235569,61.1111111111111,80.4524180967239,0.893670976161957,2.31669266770671,0.219308489384406,0.101464117373022,0.101464117373022,0.122658347190821
Curtis Jones,2023,933768,Liverpool,Central Midfielder,182 cm,68.0,22,Right,366,0.491803278688525,52.3770491803279,,0.737704918032787,50.0,0.182278007268906,0.0,0.491803278688525,,0.597468018531799,,,,0.32405099272728,2.70491803278688,0.983606557377049,1.72131147540984,50.0,5.40983606557377,43.1372549019608,,0.737704918032787,0.0,0.8126580119133,,,,,0.491803278688525,,,33.3333333333333,,92.2077922077922,,,,,,,0.983606557377049,4.91803278688525,,,,0.605063021183014,0.983606557377049,0.245901639344262,,1.22950819672131,55.5555555555556,74.7540983606557,0.903796970844269,1.72131147540984,0.030382372683189,0.0479508179133056,0.0479508179133056,0.0103770489575433
Ryan Gravenberch,2023,956683,Liverpool,Central Midfielder,190 cm,75.0,21,Right,396,0.681818181818182,33.6363636363636,,0.681818181818182,37.5,0.30886098742485,0.0,0.227272727272727,1.13636363636364,0.873417973518372,,,,0.653164982795715,0.454545454545455,1.36363636363636,1.36363636363636,35.2941176470588,4.77272727272727,42.0,,1.13636363636364,0.0,0.670885980129242,,,,,1.81818181818182,,,100.0,,83.6158192090395,,,,,,,0.909090909090909,7.27272727272727,,,,0.782278001308441,1.59090909090909,0.909090909090909,,0.681818181818182,42.8571428571429,60.0,0.805063009262085,4.09090909090909,0.100398835810748,0.185772735964168,0.185772735964168,0.13322727246718
Harvey Elliott,2023,963964,Liverpool,Central Midfielder,170 cm,64.0,20,Left,282,1.91489361702128,50.4255319148936,,1.27659574468085,44.4444444444444,0.139240995049477,0.319148936170213,1.91489361702128,1.91489361702128,0.848101019859314,,,37.5,0.118987001478672,0.957446808510638,1.91489361702128,0.319148936170213,33.3333333333333,2.5531914893617,32.0,,0.319148936170213,0.0,0.71645599603653,,,,,0.638297872340426,,,50.0,,89.2655367231638,,,,,,,1.91489361702128,5.42553191489362,,,,0.967088997364044,3.51063829787234,0.638297872340426,0.957446808510638,0.319148936170213,50.0,71.4893617021277,0.726581990718842,3.19148936170213,0.406397809373572,0.110042551730541,0.110042551730541,0.244819141448812
Mohamed Salah,2023,292462,Liverpool,Right Winger,175 cm,71.0,31,Left,1293,0.696055684454756,24.5707656612529,,0.278422273781903,36.3636363636364,0.215327993035316,0.417633410672854,0.487238979118329,2.43619489559165,0.656934022903442,,,22.2222222222222,0.0036496398970484,1.87935034802784,0.696055684454756,0.974477958236659,32.5581395348837,3.06264501160093,36.3636363636364,,1.04408352668213,0.696055684454756,0.99270099401474,,,,,0.0696055684454756,,,55.5555555555556,,76.4069264069264,0.0696055684454756,,0.208816705336427,,,,0.696055684454756,2.43619489559165,,,,0.872263014316559,3.06264501160093,1.39211136890951,0.278422273781903,0.556844547563805,72.7272727272727,48.7935034802784,0.200729995965958,7.51740139211137,0.26609103253712,0.71256611020825,0.493058007720452,0.655969832170314
Diogo Jota,2023,570461,Liverpool,Left Winger,178 cm,70.0,27,Both,640,0.703125,23.765625,,1.6875,34.2857142857143,0.861313998699188,0.0,0.984375,1.6875,0.448904991149902,,,,0.551095008850098,1.40625,1.125,1.546875,52.3809523809524,6.1875,41.9047619047619,,1.6875,0.5625,1.0,,,,,0.421875,,,83.3333333333333,,77.5229357798165,,,,,,,0.5625,3.65625,,,,0.916058003902435,3.09375,1.125,,0.84375,60.0,49.5,0.251825004816055,8.859375,0.0829617725685239,0.415701560676098,0.415701560676098,0.570164076983929
Cody Gakpo,2023,806552,Liverpool,Striker,193 cm,81.0,24,Right,589,0.305602716468591,20.9337860780985,,1.52801358234295,47.6190476190476,0.352941006422043,0.0,0.764006791171477,0.764006791171477,0.89705902338028,,,,0.754902005195618,0.611205432937182,1.06960950764007,1.83361629881155,60.0,7.02886247877759,52.2727272727273,,2.44482173174873,0.305602716468591,0.563724994659424,,,,,0.611205432937182,,,50.0,,78.7356321839081,,,,,,,1.22241086587436,4.27843803056027,,,,0.44607800245285,2.59762308998302,0.916808149405773,,0.611205432937182,50.0,46.2988115449915,0.848038971424103,4.58404074702886,0.0494427981522371,0.391736836101487,0.391736836101487,0.235604420177803
Luis Diaz,2023,860914,Liverpool,Left Winger,180 cm,72.0,26,Right,837,0.967741935483871,26.7741935483871,,0.967741935483871,40.9090909090909,0.645985007286072,0.0,0.752688172043011,1.0752688172043,0.222627997398376,,,33.3333333333333,0.430656999349594,2.04301075268817,1.39784946236559,1.93548387096774,52.9411764705882,5.80645161290323,40.2985074626866,,1.61290322580645,0.32258064516129,0.79926997423172,,,,,0.10752688172043,,,69.2307692307692,,79.8076923076923,,,,,,,0.860215053763441,4.51612903225806,,,,0.864964008331299,2.79569892473118,0.967741935483871,0.21505376344086,0.967741935483871,75.0,52.3655913978495,0.631386995315552,5.80645161290323,0.135061202510711,0.359645171832013,0.359645171832013,0.241688169458861
